resultId,raceId,position,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,driverAge,countryRankByChampionships,countryRankByProportion,allTimeStarts,allTimefastestLap,constructorRank
23675,983,14,0,0,0,21,4,12,19,0,30
23676,983,15,5,0,0,26,0,7,35,0,6
23677,983,16,14,0,0,30,1,8,149,2,6
23678,983,17,5,0,0,23,1,8,39,0,33
23679,983,18,9,0,0,27,8,14,90,0,33
23680,983,,6,0,0,23,6,6,74,0,30
23681,983,,24,20,88,38,4,0,285,46,0
23642,982,1,13,60,113,32,0,7,222,40,3
23643,982,2,5,5,25,28,4,2,143,13,4
23644,982,3,4,2,19,28,4,0,111,7,3
23645,982,4,6,0,0,23,6,6,74,0,30
23646,982,5,12,0,7,27,8,14,148,4,33
23647,982,6,5,0,0,26,0,7,35,0,6
23648,982,7,2,0,0,25,8,14,34,0,1
23649,982,8,2,0,1,19,7,5,34,0,2
23650,982,9,19,0,10,31,4,12,136,1,33
23651,982,10,0,0,0,21,4,12,43,0,33
23652,982,11,25,11,41,36,2,4,269,15,2
23653,982,12,5,0,0,23,1,8,39,0,33
23654,982,,3,0,1,25,8,14,74,0,33
23655,982,,14,0,0,30,1,8,149,2,6
23656,982,,9,0,0,27,8,14,90,0,33
23657,982,,7,0,2,23,8,14,72,1,30
23658,982,,18,32,97,36,6,6,305,23,1
23659,982,,12,46,96,30,1,8,212,34,0
23660,982,,6,1,8,20,8,14,74,4,4
23661,982,,24,20,88,38,4,0,285,46,0
23622,981,1,13,59,112,32,0,7,222,40,3
23623,981,2,4,2,18,28,4,0,111,7,3
23624,981,3,11,46,96,30,1,8,212,34,0
23625,981,4,5,5,24,28,4,2,143,13,4
23626,981,5,23,20,88,38,4,0,285,46,0
23627,981,6,0,0,0,21,4,12,43,0,33
23628,981,7,2,0,1,19,7,5,34,0,2
23629,981,8,25,11,41,36,2,4,269,15,2
23630,981,9,12,0,7,27,8,14,148,4,33
23631,981,10,5,1,8,20,8,14,74,4,4
23632,981,11,3,0,1,25,8,14,74,0,33
23633,981,12,6,0,2,23,8,14,72,1,30
23634,981,13,14,0,0,30,1,8,149,2,6
23635,981,14,6,0,0,23,6,6,74,0,30
23636,981,15,19,0,10,31,4,12,136,1,33
23637,981,16,5,0,0,23,1,8,39,0,33
23638,981,17,17,32,97,36,6,6,305,23,1
23639,981,18,8,0,0,27,8,14,90,0,33
23640,981,,2,0,0,25,8,14,34,0,1
23641,981,,5,0,0,26,0,7,35,0,6
23602,980,1,13,58,111,32,0,7,222,40,3
23603,980,2,11,46,95,30,1,8,212,34,0
23604,980,3,5,5,24,28,4,2,143,13,4
23605,980,4,23,20,88,38,4,0,285,46,0
23606,980,5,4,2,17,28,4,0,111,7,3
23607,980,6,14,0,0,30,1,8,149,2,6
23608,980,7,19,0,10,31,4,12,136,1,33
23609,980,8,25,11,41,36,2,4,269,15,2
23610,980,9,0,0,0,21,4,12,43,0,33
23611,980,10,6,0,0,23,6,6,74,0,30
23612,980,11,2,0,1,19,7,5,34,0,2
23613,980,12,6,0,2,23,8,14,72,1,30
23614,980,13,5,0,0,26,0,7,35,0,6
23615,980,14,2,0,0,25,8,14,34,0,1
23616,980,15,3,0,1,25,8,14,74,0,33
23617,980,16,8,0,0,27,8,14,90,0,33
23618,980,17,12,0,7,27,8,14,148,4,33
23619,980,,17,32,97,36,6,6,305,23,1
23620,980,,5,1,8,20,8,14,74,4,4
23621,980,,5,0,0,23,1,8,39,0,33
23582,979,1,11,46,94,30,1,8,212,34,0
23583,979,2,23,20,88,38,4,0,285,46,0
23584,979,3,4,2,17,28,4,0,111,7,3
23585,979,4,13,57,110,32,0,7,222,40,3
23586,979,5,5,1,8,20,8,14,74,4,4
23587,979,6,17,32,97,36,6,6,305,23,1
23588,979,7,6,0,0,23,6,6,74,0,30
23589,979,8,12,0,7,27,8,14,148,4,33
23590,979,9,0,0,0,21,4,12,43,0,33
23591,979,10,2,0,0,25,8,14,34,0,1
23592,979,11,6,0,2,23,8,14,72,1,30
23593,979,12,5,0,0,26,0,7,35,0,6
23594,979,13,3,0,1,25,8,14,74,0,33
23595,979,14,2,0,1,19,7,5,34,0,2
23596,979,15,4,0,0,23,1,8,39,0,33
23597,979,16,8,0,0,27,8,14,90,0,33
23598,979,17,14,0,0,30,1,8,149,2,6
23599,979,,8,0,0,31,0,7,59,0,2
23600,979,,19,0,10,31,4,12,136,1,33
23601,979,,5,5,23,28,4,2,143,13,4
23562,978,1,13,57,110,32,0,7,222,40,3
23563,978,2,4,2,16,28,4,0,111,7,3
23564,978,3,23,20,87,38,4,0,285,46,0
23565,978,4,5,1,8,20,8,14,74,4,4
23566,978,5,4,5,23,28,4,2,143,13,4
23567,978,6,14,0,0,30,1,8,149,2,6
23568,978,7,11,45,93,30,1,8,212,34,0
23569,978,8,0,0,0,21,4,12,43,0,33
23570,978,9,12,0,7,27,8,14,148,4,33
23571,978,10,25,11,41,36,2,4,269,15,2
23572,978,11,2,0,0,25,8,14,34,0,1
23573,978,12,3,0,1,25,8,14,74,0,33
23574,978,13,19,0,10,31,4,12,136,1,33
23575,978,14,8,0,0,27,8,14,90,0,33
23576,978,15,6,0,2,23,8,14,72,1,30
23577,978,16,2,0,1,19,7,5,34,0,2
23578,978,17,4,0,0,23,1,8,39,0,33
23579,978,,17,32,97,36,6,6,305,23,1
23580,978,,6,0,0,23,6,6,74,0,30
23581,978,,5,0,0,26,0,7,35,0,6
23542,977,1,4,2,15,28,4,0,111,7,3
23543,977,2,11,45,93,30,1,8,212,34,0
23544,977,3,4,5,23,28,4,2,143,13,4
23545,977,4,13,56,109,32,0,7,222,40,3
23546,977,5,23,20,86,38,4,0,285,46,0
23547,977,6,19,0,10,31,4,12,136,1,33
23548,977,7,12,0,7,27,8,14,148,4,33
23549,977,8,0,0,0,21,4,12,43,0,33
23550,977,9,25,11,41,36,2,4,269,15,2
23551,977,10,2,0,1,19,7,5,34,0,2
23552,977,11,5,0,0,26,0,7,35,0,6
23553,977,12,2,0,0,25,8,14,34,0,1
23554,977,13,14,0,0,30,1,8,149,2,6
23555,977,14,4,0,0,23,1,8,39,0,33
23556,977,15,8,0,0,27,8,14,90,0,33
23557,977,16,6,0,2,23,8,14,72,1,30
23558,977,,5,0,0,23,6,6,74,0,30
23559,977,,3,0,1,25,8,14,74,0,33
23560,977,,17,32,97,36,6,6,305,23,1
23561,977,,5,1,8,20,8,14,74,4,4
23519,976,1,4,5,22,28,4,2,143,13,4
23520,976,2,4,1,14,28,4,0,111,7,3
23521,976,3,2,0,1,19,7,5,34,0,2
23522,976,4,11,45,92,30,1,8,212,34,0
23523,976,5,13,56,109,32,0,7,222,40,3
23524,976,6,0,0,0,21,4,12,43,0,33
23525,976,7,3,0,1,25,8,14,74,0,33
23526,976,8,5,0,0,23,6,6,74,0,30
23527,976,9,16,32,97,36,6,6,305,23,1
23528,976,10,4,0,0,23,1,8,39,0,33
23529,976,11,8,0,0,27,8,14,90,0,33
23530,976,12,2,0,0,25,8,14,34,0,1
23531,976,13,19,0,10,31,4,12,136,1,33
23532,976,14,23,20,86,38,4,0,285,46,0
23533,976,,12,0,7,27,8,14,148,4,33
23534,976,,25,11,41,36,2,4,269,15,2
23535,976,,14,0,0,30,1,8,149,2,6
23536,976,,4,1,8,20,8,14,74,4,4
23537,976,,6,0,2,23,8,14,72,1,30
23538,976,,5,0,0,26,0,7,35,0,6
23499,975,1,13,56,109,32,0,7,222,40,3
23500,975,2,4,1,13,28,4,0,111,7,3
23501,975,3,4,4,21,28,4,2,143,13,4
23502,975,4,11,45,92,30,1,8,212,34,0
23503,975,5,12,0,7,27,8,14,148,4,33
23504,975,6,0,0,0,21,4,12,43,0,33
23505,975,7,23,20,86,38,4,0,285,46,0
23506,975,8,13,0,0,30,1,8,149,2,6
23507,975,9,2,0,0,19,7,5,34,0,2
23508,975,10,19,0,10,31,4,12,136,1,33
23509,975,11,5,0,0,26,0,7,35,0,6
23510,975,12,3,0,1,25,8,14,74,0,33
23511,975,13,8,0,0,27,8,14,90,0,33
23512,975,14,2,0,0,25,8,14,34,0,1
23513,975,15,4,0,0,23,1,8,39,0,33
23514,975,16,16,32,97,36,6,6,305,23,1
23515,975,,6,0,2,23,8,14,72,1,30
23516,975,,4,1,8,20,8,14,74,4,4
23517,975,,25,11,41,36,2,4,269,15,2
23518,975,,5,0,0,23,6,6,74,0,30
23479,974,1,11,45,92,30,1,8,212,34,0
23480,974,2,23,20,86,38,4,0,285,46,0
23481,974,3,4,4,20,28,4,2,143,13,4
23482,974,4,4,1,12,28,4,0,111,7,3
23483,974,5,4,1,8,20,8,14,74,4,4
23484,974,6,4,0,0,23,6,6,74,0,30
23485,974,7,13,55,108,32,0,7,222,40,3
23486,974,8,19,0,10,31,4,12,136,1,33
23487,974,9,24,11,41,36,2,4,269,15,2
23488,974,10,3,0,1,25,8,14,74,0,33
23489,974,11,5,0,0,26,0,7,35,0,6
23490,974,12,0,0,0,21,4,12,43,0,33
23491,974,13,12,0,7,27,8,14,148,4,33
23492,974,14,6,0,2,23,8,14,72,1,30
23493,974,15,2,0,0,19,7,5,34,0,2
23494,974,,2,0,0,25,8,14,34,0,1
23495,974,,8,0,0,27,8,14,90,0,33
23496,974,,30,15,50,37,0,7,306,8,1
23497,974,,4,0,0,23,1,8,39,0,33
23498,974,,13,0,0,30,1,8,149,2,6
23459,973,1,13,55,108,32,0,7,222,40,3
23460,973,2,11,44,91,30,1,8,212,34,0
23461,973,3,4,4,19,28,4,2,143,13,4
23462,973,4,12,0,7,27,8,14,148,4,33
23463,973,5,0,0,0,21,4,12,43,0,33
23464,973,6,13,0,0,30,1,8,149,2,6
23465,973,7,4,0,0,23,6,6,74,0,30
23466,973,8,3,0,0,23,1,8,39,0,33
23467,973,9,5,0,2,23,8,14,72,1,30
23468,973,10,19,0,10,31,4,12,136,1,33
23469,973,11,7,0,0,27,8,14,90,0,33
23470,973,12,16,32,97,36,6,6,305,23,1
23471,973,13,24,11,41,36,2,4,269,15,2
23472,973,14,3,0,1,25,8,14,74,0,33
23473,973,15,5,0,0,26,0,7,35,0,6
23474,973,16,2,0,0,19,7,5,34,0,2
23475,973,,4,1,12,28,4,0,111,7,3
23476,973,,1,0,0,25,8,14,34,0,1
23477,973,,4,1,8,20,8,14,74,4,4
23478,973,,23,20,85,38,4,0,285,46,0
23439,972,1,4,1,12,28,4,0,111,7,3
23440,972,2,11,44,90,30,1,8,212,34,0
23441,972,3,22,20,85,38,4,0,285,46,0
23442,972,4,13,54,107,32,0,7,222,40,3
23443,972,5,3,1,8,20,8,14,74,4,4
23444,972,6,12,0,7,27,8,14,148,4,33
23445,972,7,0,0,0,21,4,12,43,0,33
23446,972,8,13,0,0,30,1,8,149,2,6
23447,972,9,24,11,41,36,2,4,269,15,2
23448,972,10,4,0,0,23,6,6,74,0,30
23449,972,11,2,0,0,19,7,5,34,0,2
23450,972,12,5,0,2,23,8,14,72,1,30
23451,972,13,3,0,1,25,8,14,74,0,33
23452,972,14,0,0,0,25,8,14,34,0,1
23453,972,15,7,0,0,27,8,14,90,0,33
23454,972,16,3,0,0,23,1,8,39,0,33
23455,972,,4,4,18,28,4,2,143,13,4
23456,972,,5,0,0,26,0,7,35,0,6
23457,972,,19,0,10,31,4,12,136,1,33
23458,972,,16,32,97,36,6,6,305,23,1
23419,971,1,11,44,89,30,1,8,212,34,0
23420,971,2,13,54,107,32,0,7,222,40,3
23421,971,3,4,0,11,28,4,0,111,7,3
23422,971,4,22,20,84,38,4,0,285,46,0
23423,971,5,4,4,18,28,4,2,143,13,4
23424,971,6,24,11,41,36,2,4,269,15,2
23425,971,7,12,0,7,27,8,14,148,4,33
23426,971,8,18,0,10,31,4,12,136,1,33
23427,971,9,13,0,0,30,1,8,149,2,6
23428,971,10,0,0,0,21,4,12,43,0,33
23429,971,11,3,0,0,23,1,8,39,0,33
23430,971,12,5,0,2,23,8,14,72,1,30
23431,971,13,4,0,0,26,0,7,35,0,6
23432,971,14,16,32,97,36,6,6,305,23,1
23433,971,,7,0,0,27,8,14,90,0,33
23434,971,,4,0,0,23,6,6,74,0,30
23435,971,,2,0,0,19,7,5,34,0,2
23436,971,,3,1,8,20,8,14,74,4,4
23437,971,,3,0,1,25,8,14,74,0,33
23438,971,,0,0,0,25,8,14,34,0,1
23399,970,1,13,54,106,32,0,7,222,40,3
23400,970,2,11,43,88,30,1,8,212,34,0
23401,970,3,3,1,8,20,8,14,74,4,4
23402,970,4,4,4,18,28,4,2,143,13,4
23403,970,5,22,20,84,38,4,0,285,46,0
23404,970,6,4,0,10,28,4,0,111,7,3
23405,970,7,3,0,0,23,6,6,74,0,30
23406,970,8,3,0,1,25,8,14,74,0,33
23407,970,9,12,0,7,27,8,14,148,4,33
23408,970,10,0,0,0,21,4,12,43,0,33
23409,970,11,18,0,10,31,4,12,136,1,33
23410,970,12,13,0,0,30,1,8,149,2,6
23411,970,13,4,0,0,26,0,7,35,0,6
23412,970,14,24,11,41,36,2,4,269,15,2
23413,970,15,7,0,0,27,8,14,90,0,33
23414,970,,16,32,97,36,6,6,305,23,1
23415,970,,5,0,2,23,8,14,72,1,30
23416,970,,0,0,0,25,8,14,34,0,1
23417,970,,1,0,0,24,5,11,2,0,33
23418,970,,1,0,0,19,7,5,34,0,2
23379,969,1,11,43,87,30,1,8,212,34,0
23380,969,2,13,53,105,32,0,7,222,40,3
23381,969,3,4,0,10,28,4,0,111,7,3
23382,969,4,22,20,84,38,4,0,285,46,0
23383,969,5,3,1,7,20,8,14,74,4,4
23384,969,6,24,11,41,36,2,4,269,15,2
23385,969,7,12,0,7,27,8,14,148,4,33
23386,969,8,3,0,0,23,6,6,74,0,30
23387,969,9,5,0,2,23,8,14,72,1,30
23388,969,10,0,0,0,21,4,12,43,0,33
23389,969,11,13,0,0,30,1,8,149,2,6
23390,969,12,0,0,0,24,5,11,2,0,33
23391,969,13,0,0,0,25,8,14,34,0,1
23392,969,,16,32,97,36,6,6,305,23,1
23393,969,,3,0,1,25,8,14,74,0,33
23394,969,,0,0,0,19,7,5,34,0,2
23395,969,,4,4,18,28,4,2,143,13,4
23396,969,,7,0,0,27,8,14,90,0,33
23397,969,,4,0,0,26,0,7,35,0,6
23398,969,,18,0,10,31,4,12,136,1,33
23357,968,1,13,53,104,31,0,7,222,40,3
23358,968,2,14,23,57,31,1,8,206,20,3
23359,968,3,11,42,86,29,1,8,212,34,0
23360,968,4,3,1,7,19,8,14,74,4,4
23361,968,5,4,4,18,27,4,2,143,13,4
23362,968,6,22,20,84,37,4,0,285,46,0
23363,968,7,13,0,0,29,1,8,149,2,33
23364,968,8,12,0,7,26,8,14,148,4,33
23365,968,9,24,11,41,35,2,4,269,15,2
23366,968,10,16,32,97,35,6,6,305,23,1
23367,968,11,18,0,10,30,4,12,136,1,33
23368,968,12,9,0,0,25,8,14,59,1,33
23369,968,13,0,0,0,20,4,12,43,0,33
23370,968,14,3,0,0,22,1,8,39,0,33
23371,968,15,7,0,0,26,8,14,90,0,33
23372,968,16,3,0,0,24,2,4,39,0,33
23373,968,17,4,0,0,25,0,7,35,0,6
23374,968,,3,0,0,22,6,6,74,0,30
23375,968,,5,0,2,22,8,14,72,1,30
23376,968,,29,15,50,36,0,7,306,8,1
23377,968,,4,0,9,27,4,0,111,7,2
23378,968,,3,0,1,24,8,14,74,0,6
23335,967,1,13,52,103,31,0,7,222,40,3
23336,967,2,14,23,56,31,1,8,206,20,3
23337,967,3,3,1,7,19,8,14,74,4,4
23338,967,4,12,0,7,26,8,14,148,4,33
23339,967,5,11,42,85,29,1,8,212,34,0
23340,967,6,2,0,0,22,6,6,74,0,30
