resultId,raceId,position,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,driverAge,countryRankByChampionships,countryRankByProportion,allTimeStarts,allTimefastestLap,constructorRank,driverTop100,countryTop38
23762,988,1,4,3,22,28,4,0,111,7,3,11,3
23763,988,2,13,62,117,32,0,7,222,40,3,1,1
23764,988,3,12,47,99,30,1,8,212,34,0,2,2
23765,988,4,24,20,91,38,4,0,285,46,0,-1,3
23766,988,5,6,3,11,20,8,14,74,4,4,14,12
23767,988,6,14,0,0,30,1,8,149,2,6,-1,2
23768,988,7,12,0,7,27,8,14,148,4,33,-1,13
23769,988,8,1,0,0,21,4,12,43,0,33,63,5
23770,988,9,18,32,97,36,6,6,305,23,1,3,7
23771,988,10,25,11,41,36,2,4,269,15,2,8,4
23772,988,11,19,0,10,31,4,12,136,1,33,24,5
23773,988,12,3,0,0,25,8,14,34,0,1,-1,17
23774,988,13,4,0,1,25,8,14,74,0,33,64,24
23775,988,14,6,0,0,23,1,8,39,0,33,-1,2
23776,988,15,0,0,0,28,-1,-1,-1,-1,30,-1,-1
23777,988,16,0,0,0,21,4,12,19,0,30,-1,5
23778,988,17,10,0,0,27,8,14,90,0,33,-1,15
23779,988,18,2,0,1,19,7,5,34,0,2,-1,16
23780,988,,7,0,0,23,6,6,74,0,6,-1,7
23781,988,,5,5,27,28,4,2,143,13,4,10,6
23742,987,1,12,47,98,30,1,8,212,34,0,2,2
23743,987,2,4,2,21,28,4,0,111,7,3,11,3
23744,987,3,24,20,91,38,4,0,285,46,0,-1,3
23745,987,4,13,62,116,32,0,7,222,40,3,1,1
23746,987,5,6,3,11,20,8,14,74,4,4,14,12
23747,987,6,5,5,27,28,4,2,143,13,4,10,6
23748,987,7,25,11,41,36,2,4,269,15,2,8,4
23749,987,8,18,32,97,36,6,6,305,23,1,3,7
23750,987,9,12,0,7,27,8,14,148,4,33,-1,13
23751,987,10,14,0,0,30,1,8,149,2,6,-1,2
23752,987,11,7,0,0,23,6,6,74,0,6,-1,7
23753,987,12,0,0,0,21,4,12,19,0,30,-1,5
23754,987,13,10,0,0,27,8,14,90,0,33,-1,15
23755,987,14,6,0,0,23,1,8,39,0,33,-1,2
23756,987,15,19,0,10,31,4,12,136,1,33,24,5
23757,987,16,2,0,1,19,7,5,34,0,2,-1,16
23758,987,,0,0,0,28,-1,-1,-1,-1,30,-1,-1
23759,987,,1,0,0,21,4,12,43,0,33,63,5
23760,987,,3,0,0,25,8,14,34,0,1,-1,17
23761,987,,4,0,1,25,8,14,74,0,33,64,24
23722,986,1,6,3,11,20,8,14,74,4,4,14,12
23723,986,2,4,2,20,28,4,0,111,7,3,11,3
23724,986,3,24,20,90,38,4,0,285,46,0,-1,3
23725,986,4,12,46,97,30,1,8,212,34,0,2,2
23726,986,5,0,0,0,21,4,12,43,0,33,63,5
23727,986,6,2,0,1,19,7,5,34,0,2,-1,16
23728,986,7,12,0,7,27,8,14,148,4,33,-1,13
23729,986,8,3,0,1,25,8,14,74,0,33,64,24
23730,986,9,13,62,116,32,0,7,222,40,3,1,1
23731,986,10,18,32,97,36,6,6,305,23,1,3,7
23732,986,11,25,11,41,36,2,4,269,15,2,8,4
23733,986,12,2,0,0,25,8,14,34,0,1,-1,17
23734,986,13,0,0,0,21,4,12,19,0,30,-1,5
23735,986,14,6,0,0,23,1,8,39,0,33,-1,2
23736,986,15,19,0,10,31,4,12,136,1,33,24,5
23737,986,,7,0,0,23,6,6,74,0,6,-1,7
23738,986,,10,0,0,27,8,14,90,0,33,-1,15
23739,986,,0,0,0,28,-1,-1,-1,-1,30,-1,-1
23740,986,,14,0,0,30,1,8,149,2,6,-1,2
23741,986,,5,5,27,28,4,2,143,13,4,10,6
23702,985,1,13,62,116,32,0,7,222,40,3,1,1
23703,985,2,12,46,97,30,1,8,212,34,0,2,2
23704,985,3,24,20,89,38,4,0,285,46,0,-1,3
23705,985,4,6,2,10,20,8,14,74,4,4,14,12
23706,985,5,4,2,19,28,4,0,111,7,3,11,3
23707,985,6,0,0,0,21,4,12,43,0,33,63,5
23708,985,7,7,0,0,23,6,6,74,0,6,-1,7
23709,985,8,12,0,7,27,8,14,148,4,33,-1,13
23710,985,9,25,11,41,36,2,4,269,15,2,8,4
23711,985,10,7,0,2,23,8,14,72,1,30,65,-1
23712,985,11,2,0,1,19,7,5,34,0,2,-1,16
23713,985,12,2,0,0,25,8,14,34,0,1,-1,17
23714,985,13,0,0,0,28,-1,-1,-1,-1,30,-1,-1
23715,985,14,19,0,10,31,4,12,136,1,33,24,5
23716,985,15,10,0,0,27,8,14,90,0,33,-1,15
23717,985,16,3,0,1,25,8,14,74,0,33,64,24
23718,985,,18,32,97,36,6,6,305,23,1,3,7
23719,985,,5,5,27,28,4,2,143,13,4,10,6
23720,985,,6,0,0,23,1,8,39,0,33,-1,2
23721,985,,14,0,0,30,1,8,149,2,6,-1,2
23682,984,1,13,61,115,32,0,7,222,40,3,1,1
23683,984,2,6,2,10,20,8,14,74,4,4,14,12
23684,984,3,5,5,27,28,4,2,143,13,4,10,6
23685,984,4,4,2,19,28,4,0,111,7,3,11,3
23686,984,5,24,20,88,38,4,0,285,46,0,-1,3
23687,984,6,0,0,0,21,4,12,43,0,33,63,5
23688,984,7,12,0,7,27,8,14,148,4,33,-1,13
23689,984,8,3,0,1,25,8,14,74,0,33,64,24
23690,984,9,19,0,10,31,4,12,136,1,33,24,5
23691,984,10,25,11,41,36,2,4,269,15,2,8,4
23692,984,11,18,32,97,36,6,6,305,23,1,3,7
23693,984,12,5,0,0,26,0,7,35,0,6,-1,1
23694,984,13,0,0,0,21,4,12,19,0,30,-1,5
23695,984,14,2,0,0,25,8,14,34,0,1,-1,17
23696,984,15,5,0,0,23,1,8,39,0,33,-1,2
23697,984,,2,0,1,19,7,5,34,0,2,-1,16
23698,984,,14,0,0,30,1,8,149,2,6,-1,2
23699,984,,10,0,0,27,8,14,90,0,33,-1,15
23700,984,,12,46,96,30,1,8,212,34,0,2,2
23701,984,,7,0,0,23,6,6,74,0,30,-1,7
23662,983,1,6,2,9,20,8,14,74,4,4,14,12
23663,983,2,13,60,114,32,0,7,222,40,3,1,1
23664,983,3,5,5,26,28,4,2,143,13,4,10,6
23665,983,4,12,46,96,30,1,8,212,34,0,2,2
23666,983,5,4,2,19,28,4,0,111,7,3,11,3
23667,983,6,12,0,7,27,8,14,148,4,33,-1,13
23668,983,7,2,0,0,25,8,14,34,0,1,-1,17
23669,983,8,2,0,1,19,7,5,34,0,2,-1,16
23670,983,9,25,11,41,36,2,4,269,15,2,8,4
23671,983,10,0,0,0,21,4,12,43,0,33,63,5
23672,983,11,18,32,97,36,6,6,305,23,1,3,7
23673,983,12,3,0,1,25,8,14,74,0,33,64,24
23674,983,13,19,0,10,31,4,12,136,1,33,24,5
23675,983,14,0,0,0,21,4,12,19,0,30,-1,5
23676,983,15,5,0,0,26,0,7,35,0,6,-1,1
23677,983,16,14,0,0,30,1,8,149,2,6,-1,2
23678,983,17,5,0,0,23,1,8,39,0,33,-1,2
23679,983,18,9,0,0,27,8,14,90,0,33,-1,15
23680,983,,6,0,0,23,6,6,74,0,30,-1,7
23681,983,,24,20,88,38,4,0,285,46,0,-1,3
23642,982,1,13,60,113,32,0,7,222,40,3,1,1
23643,982,2,5,5,25,28,4,2,143,13,4,10,6
23644,982,3,4,2,19,28,4,0,111,7,3,11,3
23645,982,4,6,0,0,23,6,6,74,0,30,-1,7
23646,982,5,12,0,7,27,8,14,148,4,33,-1,13
23647,982,6,5,0,0,26,0,7,35,0,6,-1,1
23648,982,7,2,0,0,25,8,14,34,0,1,-1,17
23649,982,8,2,0,1,19,7,5,34,0,2,-1,16
23650,982,9,19,0,10,31,4,12,136,1,33,24,5
23651,982,10,0,0,0,21,4,12,43,0,33,63,5
23652,982,11,25,11,41,36,2,4,269,15,2,8,4
23653,982,12,5,0,0,23,1,8,39,0,33,-1,2
23654,982,,3,0,1,25,8,14,74,0,33,64,24
23655,982,,14,0,0,30,1,8,149,2,6,-1,2
23656,982,,9,0,0,27,8,14,90,0,33,-1,15
23657,982,,7,0,2,23,8,14,72,1,30,65,-1
23658,982,,18,32,97,36,6,6,305,23,1,3,7
23659,982,,12,46,96,30,1,8,212,34,0,2,2
23660,982,,6,1,8,20,8,14,74,4,4,14,12
23661,982,,24,20,88,38,4,0,285,46,0,-1,3
23622,981,1,13,59,112,32,0,7,222,40,3,1,1
23623,981,2,4,2,18,28,4,0,111,7,3,11,3
23624,981,3,11,46,96,30,1,8,212,34,0,2,2
23625,981,4,5,5,24,28,4,2,143,13,4,10,6
23626,981,5,23,20,88,38,4,0,285,46,0,-1,3
23627,981,6,0,0,0,21,4,12,43,0,33,63,5
23628,981,7,2,0,1,19,7,5,34,0,2,-1,16
23629,981,8,25,11,41,36,2,4,269,15,2,8,4
23630,981,9,12,0,7,27,8,14,148,4,33,-1,13
23631,981,10,5,1,8,20,8,14,74,4,4,14,12
23632,981,11,3,0,1,25,8,14,74,0,33,64,24
23633,981,12,6,0,2,23,8,14,72,1,30,65,-1
23634,981,13,14,0,0,30,1,8,149,2,6,-1,2
23635,981,14,6,0,0,23,6,6,74,0,30,-1,7
23636,981,15,19,0,10,31,4,12,136,1,33,24,5
23637,981,16,5,0,0,23,1,8,39,0,33,-1,2
23638,981,17,17,32,97,36,6,6,305,23,1,3,7
23639,981,18,8,0,0,27,8,14,90,0,33,-1,15
23640,981,,2,0,0,25,8,14,34,0,1,-1,17
23641,981,,5,0,0,26,0,7,35,0,6,-1,1
23602,980,1,13,58,111,32,0,7,222,40,3,1,1
23603,980,2,11,46,95,30,1,8,212,34,0,2,2
23604,980,3,5,5,24,28,4,2,143,13,4,10,6
23605,980,4,23,20,88,38,4,0,285,46,0,-1,3
23606,980,5,4,2,17,28,4,0,111,7,3,11,3
23607,980,6,14,0,0,30,1,8,149,2,6,-1,2
23608,980,7,19,0,10,31,4,12,136,1,33,24,5
23609,980,8,25,11,41,36,2,4,269,15,2,8,4
23610,980,9,0,0,0,21,4,12,43,0,33,63,5
23611,980,10,6,0,0,23,6,6,74,0,30,-1,7
23612,980,11,2,0,1,19,7,5,34,0,2,-1,16
23613,980,12,6,0,2,23,8,14,72,1,30,65,-1
23614,980,13,5,0,0,26,0,7,35,0,6,-1,1
23615,980,14,2,0,0,25,8,14,34,0,1,-1,17
23616,980,15,3,0,1,25,8,14,74,0,33,64,24
23617,980,16,8,0,0,27,8,14,90,0,33,-1,15
23618,980,17,12,0,7,27,8,14,148,4,33,-1,13
23619,980,,17,32,97,36,6,6,305,23,1,3,7
23620,980,,5,1,8,20,8,14,74,4,4,14,12
23621,980,,5,0,0,23,1,8,39,0,33,-1,2
23582,979,1,11,46,94,30,1,8,212,34,0,2,2
23583,979,2,23,20,88,38,4,0,285,46,0,-1,3
23584,979,3,4,2,17,28,4,0,111,7,3,11,3
23585,979,4,13,57,110,32,0,7,222,40,3,1,1
23586,979,5,5,1,8,20,8,14,74,4,4,14,12
23587,979,6,17,32,97,36,6,6,305,23,1,3,7
23588,979,7,6,0,0,23,6,6,74,0,30,-1,7
23589,979,8,12,0,7,27,8,14,148,4,33,-1,13
23590,979,9,0,0,0,21,4,12,43,0,33,63,5
23591,979,10,2,0,0,25,8,14,34,0,1,-1,17
23592,979,11,6,0,2,23,8,14,72,1,30,65,-1
23593,979,12,5,0,0,26,0,7,35,0,6,-1,1
23594,979,13,3,0,1,25,8,14,74,0,33,64,24
23595,979,14,2,0,1,19,7,5,34,0,2,-1,16
23596,979,15,4,0,0,23,1,8,39,0,33,-1,2
23597,979,16,8,0,0,27,8,14,90,0,33,-1,15
23598,979,17,14,0,0,30,1,8,149,2,6,-1,2
23599,979,,8,0,0,31,0,7,59,0,2,73,1
23600,979,,19,0,10,31,4,12,136,1,33,24,5
23601,979,,5,5,23,28,4,2,143,13,4,10,6
23562,978,1,13,57,110,32,0,7,222,40,3,1,1
23563,978,2,4,2,16,28,4,0,111,7,3,11,3
23564,978,3,23,20,87,38,4,0,285,46,0,-1,3
23565,978,4,5,1,8,20,8,14,74,4,4,14,12
23566,978,5,4,5,23,28,4,2,143,13,4,10,6
23567,978,6,14,0,0,30,1,8,149,2,6,-1,2
23568,978,7,11,45,93,30,1,8,212,34,0,2,2
23569,978,8,0,0,0,21,4,12,43,0,33,63,5
23570,978,9,12,0,7,27,8,14,148,4,33,-1,13
23571,978,10,25,11,41,36,2,4,269,15,2,8,4
23572,978,11,2,0,0,25,8,14,34,0,1,-1,17
23573,978,12,3,0,1,25,8,14,74,0,33,64,24
23574,978,13,19,0,10,31,4,12,136,1,33,24,5
23575,978,14,8,0,0,27,8,14,90,0,33,-1,15
23576,978,15,6,0,2,23,8,14,72,1,30,65,-1
23577,978,16,2,0,1,19,7,5,34,0,2,-1,16
23578,978,17,4,0,0,23,1,8,39,0,33,-1,2
23579,978,,17,32,97,36,6,6,305,23,1,3,7
23580,978,,6,0,0,23,6,6,74,0,30,-1,7
23581,978,,5,0,0,26,0,7,35,0,6,-1,1
23542,977,1,4,2,15,28,4,0,111,7,3,11,3
23543,977,2,11,45,93,30,1,8,212,34,0,2,2
23544,977,3,4,5,23,28,4,2,143,13,4,10,6
23545,977,4,13,56,109,32,0,7,222,40,3,1,1
23546,977,5,23,20,86,38,4,0,285,46,0,-1,3
23547,977,6,19,0,10,31,4,12,136,1,33,24,5
23548,977,7,12,0,7,27,8,14,148,4,33,-1,13
23549,977,8,0,0,0,21,4,12,43,0,33,63,5
23550,977,9,25,11,41,36,2,4,269,15,2,8,4
23551,977,10,2,0,1,19,7,5,34,0,2,-1,16
23552,977,11,5,0,0,26,0,7,35,0,6,-1,1
23553,977,12,2,0,0,25,8,14,34,0,1,-1,17
23554,977,13,14,0,0,30,1,8,149,2,6,-1,2
23555,977,14,4,0,0,23,1,8,39,0,33,-1,2
23556,977,15,8,0,0,27,8,14,90,0,33,-1,15
23557,977,16,6,0,2,23,8,14,72,1,30,65,-1
23558,977,,5,0,0,23,6,6,74,0,30,-1,7
23559,977,,3,0,1,25,8,14,74,0,33,64,24
23560,977,,17,32,97,36,6,6,305,23,1,3,7
23561,977,,5,1,8,20,8,14,74,4,4,14,12
23519,976,1,4,5,22,28,4,2,143,13,4,10,6
23520,976,2,4,1,14,28,4,0,111,7,3,11,3
23521,976,3,2,0,1,19,7,5,34,0,2,-1,16
23522,976,4,11,45,92,30,1,8,212,34,0,2,2
23523,976,5,13,56,109,32,0,7,222,40,3,1,1
23524,976,6,0,0,0,21,4,12,43,0,33,63,5
23525,976,7,3,0,1,25,8,14,74,0,33,64,24
23526,976,8,5,0,0,23,6,6,74,0,30,-1,7
23527,976,9,16,32,97,36,6,6,305,23,1,3,7
23528,976,10,4,0,0,23,1,8,39,0,33,-1,2
23529,976,11,8,0,0,27,8,14,90,0,33,-1,15
23530,976,12,2,0,0,25,8,14,34,0,1,-1,17
23531,976,13,19,0,10,31,4,12,136,1,33,24,5
23532,976,14,23,20,86,38,4,0,285,46,0,-1,3
23533,976,,12,0,7,27,8,14,148,4,33,-1,13
23534,976,,25,11,41,36,2,4,269,15,2,8,4
23535,976,,14,0,0,30,1,8,149,2,6,-1,2
23536,976,,4,1,8,20,8,14,74,4,4,14,12
23537,976,,6,0,2,23,8,14,72,1,30,65,-1
23538,976,,5,0,0,26,0,7,35,0,6,-1,1
23499,975,1,13,56,109,32,0,7,222,40,3,1,1
23500,975,2,4,1,13,28,4,0,111,7,3,11,3
23501,975,3,4,4,21,28,4,2,143,13,4,10,6
23502,975,4,11,45,92,30,1,8,212,34,0,2,2
23503,975,5,12,0,7,27,8,14,148,4,33,-1,13
23504,975,6,0,0,0,21,4,12,43,0,33,63,5
23505,975,7,23,20,86,38,4,0,285,46,0,-1,3
23506,975,8,13,0,0,30,1,8,149,2,6,-1,2
23507,975,9,2,0,0,19,7,5,34,0,2,-1,16
23508,975,10,19,0,10,31,4,12,136,1,33,24,5
23509,975,11,5,0,0,26,0,7,35,0,6,-1,1
23510,975,12,3,0,1,25,8,14,74,0,33,64,24
23511,975,13,8,0,0,27,8,14,90,0,33,-1,15
23512,975,14,2,0,0,25,8,14,34,0,1,-1,17
23513,975,15,4,0,0,23,1,8,39,0,33,-1,2
23514,975,16,16,32,97,36,6,6,305,23,1,3,7
23515,975,,6,0,2,23,8,14,72,1,30,65,-1
23516,975,,4,1,8,20,8,14,74,4,4,14,12
23517,975,,25,11,41,36,2,4,269,15,2,8,4
23518,975,,5,0,0,23,6,6,74,0,30,-1,7
23479,974,1,11,45,92,30,1,8,212,34,0,2,2
23480,974,2,23,20,86,38,4,0,285,46,0,-1,3
23481,974,3,4,4,20,28,4,2,143,13,4,10,6
23482,974,4,4,1,12,28,4,0,111,7,3,11,3
23483,974,5,4,1,8,20,8,14,74,4,4,14,12
23484,974,6,4,0,0,23,6,6,74,0,30,-1,7
23485,974,7,13,55,108,32,0,7,222,40,3,1,1
23486,974,8,19,0,10,31,4,12,136,1,33,24,5
23487,974,9,24,11,41,36,2,4,269,15,2,8,4
23488,974,10,3,0,1,25,8,14,74,0,33,64,24
23489,974,11,5,0,0,26,0,7,35,0,6,-1,1
23490,974,12,0,0,0,21,4,12,43,0,33,63,5
23491,974,13,12,0,7,27,8,14,148,4,33,-1,13
23492,974,14,6,0,2,23,8,14,72,1,30,65,-1
23493,974,15,2,0,0,19,7,5,34,0,2,-1,16
23494,974,,2,0,0,25,8,14,34,0,1,-1,17
23495,974,,8,0,0,27,8,14,90,0,33,-1,15
23496,974,,30,15,50,37,0,7,306,8,1,7,1
23497,974,,4,0,0,23,1,8,39,0,33,-1,2
23498,974,,13,0,0,30,1,8,149,2,6,-1,2
23459,973,1,13,55,108,32,0,7,222,40,3,1,1
23460,973,2,11,44,91,30,1,8,212,34,0,2,2
23461,973,3,4,4,19,28,4,2,143,13,4,10,6
23462,973,4,12,0,7,27,8,14,148,4,33,-1,13
23463,973,5,0,0,0,21,4,12,43,0,33,63,5
23464,973,6,13,0,0,30,1,8,149,2,6,-1,2
23465,973,7,4,0,0,23,6,6,74,0,30,-1,7
23466,973,8,3,0,0,23,1,8,39,0,33,-1,2
23467,973,9,5,0,2,23,8,14,72,1,30,65,-1
23468,973,10,19,0,10,31,4,12,136,1,33,24,5
23469,973,11,7,0,0,27,8,14,90,0,33,-1,15
23470,973,12,16,32,97,36,6,6,305,23,1,3,7
23471,973,13,24,11,41,36,2,4,269,15,2,8,4
23472,973,14,3,0,1,25,8,14,74,0,33,64,24
23473,973,15,5,0,0,26,0,7,35,0,6,-1,1
23474,973,16,2,0,0,19,7,5,34,0,2,-1,16
23475,973,,4,1,12,28,4,0,111,7,3,11,3
23476,973,,1,0,0,25,8,14,34,0,1,-1,17
23477,973,,4,1,8,20,8,14,74,4,4,14,12
23478,973,,23,20,85,38,4,0,285,46,0,-1,3
23439,972,1,4,1,12,28,4,0,111,7,3,11,3
23440,972,2,11,44,90,30,1,8,212,34,0,2,2
23441,972,3,22,20,85,38,4,0,285,46,0,-1,3
23442,972,4,13,54,107,32,0,7,222,40,3,1,1
23443,972,5,3,1,8,20,8,14,74,4,4,14,12
23444,972,6,12,0,7,27,8,14,148,4,33,-1,13
23445,972,7,0,0,0,21,4,12,43,0,33,63,5
23446,972,8,13,0,0,30,1,8,149,2,6,-1,2
23447,972,9,24,11,41,36,2,4,269,15,2,8,4
23448,972,10,4,0,0,23,6,6,74,0,30,-1,7
23449,972,11,2,0,0,19,7,5,34,0,2,-1,16
23450,972,12,5,0,2,23,8,14,72,1,30,65,-1
23451,972,13,3,0,1,25,8,14,74,0,33,64,24
23452,972,14,0,0,0,25,8,14,34,0,1,-1,17
23453,972,15,7,0,0,27,8,14,90,0,33,-1,15
23454,972,16,3,0,0,23,1,8,39,0,33,-1,2
23455,972,,4,4,18,28,4,2,143,13,4,10,6
23456,972,,5,0,0,26,0,7,35,0,6,-1,1
23457,972,,19,0,10,31,4,12,136,1,33,24,5
23458,972,,16,32,97,36,6,6,305,23,1,3,7
23419,971,1,11,44,89,30,1,8,212,34,0,2,2
23420,971,2,13,54,107,32,0,7,222,40,3,1,1
23421,971,3,4,0,11,28,4,0,111,7,3,11,3
23422,971,4,22,20,84,38,4,0,285,46,0,-1,3
23423,971,5,4,4,18,28,4,2,143,13,4,10,6
23424,971,6,24,11,41,36,2,4,269,15,2,8,4
23425,971,7,12,0,7,27,8,14,148,4,33,-1,13
23426,971,8,18,0,10,31,4,12,136,1,33,24,5
23427,971,9,13,0,0,30,1,8,149,2,6,-1,2
23428,971,10,0,0,0,21,4,12,43,0,33,63,5
23429,971,11,3,0,0,23,1,8,39,0,33,-1,2
23430,971,12,5,0,2,23,8,14,72,1,30,65,-1
23431,971,13,4,0,0,26,0,7,35,0,6,-1,1
23432,971,14,16,32,97,36,6,6,305,23,1,3,7
23433,971,,7,0,0,27,8,14,90,0,33,-1,15
23434,971,,4,0,0,23,6,6,74,0,30,-1,7
23435,971,,2,0,0,19,7,5,34,0,2,-1,16
23436,971,,3,1,8,20,8,14,74,4,4,14,12
23437,971,,3,0,1,25,8,14,74,0,33,64,24
23438,971,,0,0,0,25,8,14,34,0,1,-1,17
23399,970,1,13,54,106,32,0,7,222,40,3,1,1
23400,970,2,11,43,88,30,1,8,212,34,0,2,2
23401,970,3,3,1,8,20,8,14,74,4,4,14,12
23402,970,4,4,4,18,28,4,2,143,13,4,10,6
23403,970,5,22,20,84,38,4,0,285,46,0,-1,3
