resultId,raceId,position,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,driverAge,countryRankByChampionships,countryRankByProportion,allTimeStarts,allTimefastestLap,constructorRank,driverTop100,countryTop38
1858,107,4,3,6,15,23,6,6,305,23,6,3,7
1859,107,5,20,6,23,29,1,8,180,8,2,27,2
1860,107,6,4,0,0,27,8,14,90,0,33,-1,22
1861,107,7,20,70,122,35,1,8,306,77,0,6,2
1862,107,8,7,0,6,23,2,4,269,15,33,8,4
1863,107,9,20,1,11,31,5,11,229,2,33,34,8
1864,107,10,15,11,23,33,7,5,0,0,6,43,16
1865,107,11,18,13,60,33,0,7,246,18,1,16,1
1866,107,12,22,0,5,30,5,11,252,1,33,41,8
1867,107,13,8,0,0,28,2,4,36,0,33,-1,4
1868,107,14,0,0,0,21,4,1,49,0,33,-1,9
1869,107,15,3,0,2,22,1,8,91,1,18,-1,2
1870,107,16,0,0,0,23,8,14,20,0,33,-1,33
1871,107,17,0,0,0,23,5,11,18,0,33,-1,8
1872,107,,7,6,18,28,4,2,215,19,33,9,6
1873,107,,12,0,2,27,1,8,183,2,18,38,2
1874,107,,10,8,16,24,0,7,306,8,33,7,1
1875,108,1,18,13,60,32,0,7,246,18,1,16,1
1876,108,2,6,3,20,28,8,14,94,12,2,29,19
1877,108,3,7,2,19,24,4,0,285,46,1,-1,3
1878,108,4,20,70,122,34,1,8,306,77,0,6,2
1879,108,5,22,0,5,29,5,11,252,1,6,41,8
1880,108,6,25,3,18,36,1,8,156,6,33,57,2
1881,108,7,3,6,15,22,6,6,305,23,6,3,7
1882,108,8,20,6,23,28,1,8,180,8,2,27,2
1883,108,9,15,11,23,32,7,5,0,0,33,43,16
1884,108,10,10,8,16,23,0,7,306,8,33,7,1
1885,108,11,20,0,2,31,8,14,107,0,33,-1,12
1886,108,,20,1,11,30,5,11,229,2,18,34,8
1887,108,,2,0,0,23,2,4,20,0,33,-1,4
1888,108,,22,1,5,37,4,12,157,0,33,88,5
1889,108,,12,0,2,26,1,8,183,2,33,38,2
1890,108,,1,0,0,25,0,7,16,0,33,-1,1
1891,108,,6,6,18,27,4,2,215,19,33,9,6
1892,108,,1,0,0,30,2,4,28,0,33,-1,4
1893,108,,3,0,0,28,8,14,14,0,18,-1,27
1894,108,,29,9,49,31,2,4,322,17,0,13,4
1895,109,1,7,2,18,24,4,0,285,46,1,-1,3
1896,109,2,28,9,49,31,2,4,322,17,0,13,4
1897,109,3,3,6,15,22,6,6,305,23,6,3,7
1898,109,4,20,6,23,28,1,8,180,8,2,27,2
1899,109,5,22,0,5,29,5,11,252,1,6,41,8
1900,109,6,20,70,122,34,1,8,306,77,0,6,2
1901,109,7,10,8,16,23,0,7,306,8,33,7,1
1902,109,8,12,0,2,26,1,8,183,2,33,38,2
1903,109,9,25,3,18,36,1,8,156,6,33,57,2
1904,109,10,2,0,0,28,8,14,14,0,18,-1,27
1905,109,11,0,0,0,30,2,4,28,0,33,-1,4
1906,109,12,6,3,19,28,8,14,94,12,2,29,19
1907,109,13,20,0,2,31,8,14,107,0,33,-1,12
1908,109,,2,0,0,23,2,4,20,0,33,-1,4
1909,109,,1,0,0,25,0,7,16,0,33,-1,1
1910,109,,6,6,18,27,4,2,215,19,33,9,6
1911,109,,22,1,5,37,4,12,157,0,33,88,5
1912,109,,18,12,59,32,0,7,246,18,1,16,1
1913,109,,20,1,11,30,5,11,229,2,18,34,8
1914,109,,15,11,23,32,7,5,0,0,33,43,16
1915,110,1,20,1,11,30,5,11,229,2,18,34,8
1916,110,2,7,1,17,24,4,0,285,46,1,-1,3
1917,110,3,3,6,14,22,6,6,305,23,6,3,7
1918,110,4,18,12,59,32,0,7,246,18,1,16,1
1919,110,5,25,3,18,36,1,8,156,6,33,57,2
1920,110,6,15,11,23,32,7,5,0,0,33,43,16
1921,110,7,20,6,23,28,1,8,180,8,2,27,2
1922,110,8,22,0,5,29,5,11,252,1,6,41,8
1923,110,9,6,6,18,27,4,2,215,19,33,9,6
1924,110,10,0,0,0,30,2,4,28,0,33,-1,4
1925,110,,28,9,48,31,2,4,322,17,0,13,4
1926,110,,10,8,16,23,0,7,306,8,33,7,1
1927,110,,20,0,2,31,8,14,107,0,33,-1,12
1928,110,,20,70,122,34,1,8,306,77,0,6,2
1929,110,,6,3,19,28,8,14,94,12,2,29,19
1930,110,,1,0,0,23,2,4,20,0,33,-1,4
1931,110,,22,1,5,37,4,12,157,0,33,88,5
1932,110,,2,0,0,28,8,14,14,0,18,-1,27
1933,110,,1,0,0,25,0,7,16,0,33,-1,1
1934,110,,12,0,2,26,1,8,183,2,33,38,2
1935,111,1,19,70,122,34,1,8,306,77,0,6,2
1936,111,2,7,1,16,24,4,0,285,46,1,-1,3
1937,111,3,28,9,48,31,2,4,322,17,0,13,4
1938,111,4,20,6,23,28,1,8,180,8,2,27,2
1939,111,5,18,12,59,32,0,7,246,18,1,16,1
1940,111,6,3,6,13,22,6,6,305,23,6,3,7
1941,111,7,5,3,19,28,8,14,94,12,2,29,19
1942,111,8,9,8,16,23,0,7,306,8,33,7,1
1943,111,9,21,1,5,37,4,12,157,0,33,88,5
1944,111,10,12,0,2,26,1,8,183,2,33,38,2
1945,111,11,25,3,18,36,1,8,156,6,33,57,2
1946,111,12,0,0,0,30,2,4,28,0,33,-1,4
1947,111,13,22,0,5,29,5,11,252,1,6,41,8
1948,111,14,0,0,0,23,2,4,20,0,33,-1,4
1949,111,15,20,0,10,30,5,11,229,2,18,34,8
1950,111,,5,6,18,27,4,2,215,19,33,9,6
1951,111,,2,0,0,28,8,14,14,0,18,-1,27
1952,111,,19,0,2,31,8,14,107,0,33,-1,12
1953,111,,0,0,0,25,0,7,16,0,33,-1,1
1954,111,,15,11,23,32,7,5,0,0,33,43,16
1955,112,1,19,69,121,34,1,8,306,77,0,6,2
1956,112,2,3,6,13,22,6,6,305,23,6,3,7
1957,112,3,28,9,47,31,2,4,322,17,0,13,4
1958,112,4,5,3,19,28,8,14,94,12,2,29,19
1959,112,5,20,6,23,28,1,8,180,8,2,27,2
1960,112,6,0,0,0,30,2,4,28,0,33,-1,4
1961,112,7,5,6,18,27,4,2,215,19,33,9,6
1962,112,8,2,0,0,28,8,14,14,0,18,-1,27
1963,112,9,9,8,16,23,0,7,306,8,33,7,1
