resultId,raceId,position,grid,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,countryRankByChampionships,allTimeStarts,allTimefastestLap,constructorRank,driverTop100,countryTop38
20303,728,4,9,0,0,0,7,100,3,15,48,14
20304,728,5,5,0,0,0,5,42,2,0,101,8
20305,728,6,11,0,0,0,8,104,0,15,101,15
20306,728,7,10,0,0,0,7,25,0,15,101,20
20307,728,8,8,0,0,0,0,27,0,10,101,1
20308,728,9,13,0,0,0,8,9,0,15,101,39
20309,728,10,20,0,0,0,8,28,0,29,101,12
20310,728,11,18,0,0,0,7,2,0,33,101,20
20311,728,12,19,0,0,0,7,1,0,25,101,20
20312,728,13,2,1,0,0,4,126,12,8,37,6
20313,728,14,15,0,0,0,7,1,0,14,101,20
20314,728,,16,0,0,0,7,4,0,33,101,20
20315,728,,14,0,0,0,0,2,0,8,101,1
20316,728,,4,0,0,0,0,111,11,0,54,1
20317,728,,7,0,0,0,-1,-1,-1,11,75,39
20318,728,,12,0,0,0,7,2,0,10,101,20
20319,728,,17,0,0,0,8,5,0,33,101,39
20320,728,,0,1,0,0,7,2,0,32,101,20
20321,728,,0,1,0,0,7,1,0,10,101,20
20322,728,,0,1,0,0,0,50,1,33,101,1
20323,337,1,3,1,5,10,6,305,23,0,3,7
20324,337,2,2,1,0,5,2,269,15,0,8,4
20325,337,3,4,2,3,9,0,222,40,1,1,1
20326,337,4,1,1,5,10,1,212,34,4,2,2
20327,337,5,5,1,0,3,1,206,20,3,5,2
20328,337,6,7,1,0,0,1,306,77,3,6,2
20329,337,7,8,1,2,7,0,306,8,1,7,1
20330,337,8,6,2,4,10,4,215,19,4,9,6
20331,337,9,12,5,0,0,5,80,0,33,101,8
20332,337,10,11,1,0,0,2,322,17,2,13,4
20333,337,11,9,1,0,3,8,76,1,6,36,21
20334,337,12,10,2,0,0,1,128,1,33,71,2
20335,337,13,18,0,0,0,6,46,0,30,101,7
20336,337,14,13,3,0,0,1,149,2,2,101,2
20337,337,15,21,2,0,0,4,111,2,33,77,3
20338,337,16,15,4,0,0,8,55,0,30,101,18
20339,337,17,20,1,0,0,5,252,1,33,41,8
20340,337,,14,2,0,0,6,104,1,33,101,7
20341,337,,23,4,0,0,2,46,1,33,101,4
20342,337,,19,2,0,0,1,91,1,33,101,2
20343,337,,17,3,0,0,8,57,1,6,98,39
